,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
소재지,서울,서울,전남,광주,서울,대전,제주,서울,부산,강원,제주,서울,서울,경기도,인천,제주,서울,제주,울산,경북,제주,제주,제주,경기도,서울,서울,제주,제주,서울,서울,서울,서울,서울,서울,부산,서울,서울,경기도,서울,서울,서울,경기도,경기도,서울,서울,서울,서울,서울,경기도,대구광역시,부산광역시,서울,광주광역시,서울,서울,전라남도,경기도,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,인천,서울,인천,서울,제주,충청남도,서울시,서울,서울시,부산,대전,제주,서울,,사이버교육,,부산,서울,서울,,제주도,수원,제주,대구,,포항시,서울시,광주시,제주시,제주시,서울시,충청남도,서울
학교정보 데이터원본,"['건국대학교', '컴퓨터공학과', 10, '졸업', '서울']","['서울대학교', '독어독문학과', 10, '졸업', '서울']","['전남대학교', '정보보안학과', 10, '졸업', '전남']","['조선대학교', '정보통신학과', 10, '졸업', '광주']","['서울여자대학교', '컴퓨터공학과', 10, '졸업', '서울']","['충남대학교', '컴퓨터공학과', 10, '재학', '대전']","['제주대학교', '컴퓨터공학과', 10, '졸업', '제주']","['서울시립대학교', '컴퓨터과학부', 10, '졸업', '서울']","['부산대학교', '정보통신공학부', 10, '재학', '부산']","['강원대학교', '컴퓨터공학과', 10, '졸업', '강원']","['제주대학교', '컴퓨터교육과', 10, '졸업', '제주']","['서울대학교', '컴퓨터공학과', 10, '졸업', '서울']","['건국대학교', '컴퓨터공학과', 10, '졸업', '서울']","['안양대학교', '컴퓨터공학과', 10, '졸업', '경기도']","['인하대학교', '컴퓨터공학과', 9, '졸업', '인천']","['제주대학교', '컴퓨터교육과', 10, '졸업', '제주']","['이화여자대학교', '컴퓨터 공학과', 10, '졸업', '서울']","['제주대학교', '컴퓨터공학과', 10, '졸업', '제주']","['울산대학교', 'IT융합전공', 10, '졸업', '울산']","['대구대학교', '컴퓨터정보공학부', 10, '졸업', '경북']","['제주대학교', '컴퓨터공학과', 10, '졸업', '제주']","['제주대학교', '전산통계학과', 10, '졸업', '제주']","['제주한라대학교', '컴퓨터정보과', 10, '졸업', '제주']","['수원대학교', '컴퓨터공학과', 10, '졸업', '경기도']","['연세대학교', '컴퓨터과학과', 9, '졸업', '서울']","['고려대학교', '컴퓨터학과', 9, '졸업', '서울']","['제주한라대학교', '컴퓨터정보과', 10, '졸업', '제주']","['제주대학교', '컴퓨터교육과', 10, '졸업', '제주']","['위니브즈대학교', '컴퓨터공학과', 9, '졸업', '서울']","['덕성여자대학교', '컴퓨터학과', 7, '졸업예정', '서울']","['위니브즈대학교', '컴퓨터공학과', 8, '졸업', '서울']","['홍익대학교', '컴퓨터공학과', 8, '졸업', '서울']","['홍익대학교', '컴퓨터공학과', 8, '졸업', '서울']","['건국대학교', '컴퓨터공학과', 8, '졸업', '서울']","['동아대학교', '컴퓨터공학과', 9, '재학', '부산']","['서울여자대학교', '정보보호학과', 7, '졸업', '서울']","['의니브즈대학교', '정보보안학과', 10, '졸업', '서울']","['아주대학교', '정보보안학과', 7, '졸업', '경기도']","['중앙대학교', '컴퓨터공학과', 10, '졸업', '서울']","['중앙대학교', '컴퓨터공학과', 10, '졸업', '서울']","['서강대학교', '컴퓨터공학과', 10, '졸업', '서울']","['수원대학교', '컴퓨터공학과', 9, '졸업예정', '경기도']","['수원대학교', '정보보안학과', 9, '졸업', '경기도']","['한성대학교', '정보통신학과', 8, '졸업', '서울']","['한양대학교', '소프트웨어전공', 7, '졸업', '서울']","['건국대학교', '컴퓨터공학과', 10, '졸업', '서울']","['한양대학교', '소프트웨어전공', 7, '졸업', '서울']","['의니브즈대학교', '정보보안학과', 7, '졸업', '서울']","['항공대학교', '컴퓨터공학과', 7, '졸업예정', '경기도']","['충남대학교', '컴퓨터공학과', 8, '졸업예정', '대구광역시']","['고신대학교', '인터넷비지니스학과', 10, '졸업', '부산광역시']","['국민대학교', '수학과', 10, '졸업', '서울']","['조선대학교', '정보통신학과', 7, '졸업', '광주광역시']","['위니브즈대학교', '정보통신학과', 9, '졸업', '서울']","['덕성여자대학교', '컴퓨터학과', 7, '졸업예정', '서울']","['호남대학교', '인터넷소프트웨어학과', 10, '졸업', '전라남도']","['안양대학교', '수학과', 10, '졸업', '경기도']","['경희대학교', '컴퓨터공학과', 10, '졸업', '서울']","['동국대학교', '정보통신공학과', 10, '졸업', '서울']","['고려대학교', '임베디드소프트', 10, '졸업', '서울']","['건국대학교', '멀티미디어', 10, '졸업', '서울']","['건국대학교', '멀티미디어', 10, '졸업', '서울']","['서울시립대학교', '전자전기컴퓨터공학', 9, '졸업', '서울']","['숭실대학교', '글로벌미디어학부', 10, '졸업', '서울']","['건국대학교', '멀티미디어', 7, '졸업', '서울']","['고려대학교', '사이버국방학과', 6, '졸업', '서울']","['이화여자대학교', '컴퓨터공학전공', 10, '졸업', '서울']","['인하대학교', '유아교육과', 10, '졸업', '인천']","['세종사이버대학교', '정보보호시스템학과', 7, '졸업', '서울']","['인하대학교', '컴퓨터공학과', 6, '재학중', '인천']","['건국대학교 ', '컴퓨터공학과', 10, '재학중', '서울']","['제주대학교', '컴퓨터공학과', 10, '졸업', '제주']","['순천향대학교', '해킹보안학과', 6, '재학중', '충청남도']","['홍익대학교', '컴퓨터공학과', 10, '재학중', '서울시']","['건국대학교', '컴퓨터공학과', 10, '졸업', '서울']","['세종대학교', '정보보호학과', 6, '휴학중', '서울시']","['부경대학교 ', '정보통신공학과', 6, '졸업', '부산']","['대전대학교', '정보통신대학', 8, '졸업', '대전']","['제주대학교', '의류학과', 9, '졸업', '제주']","['고려대학교', '임베디드소프트웨어학과', 10, '졸업', '서울']","['', '', 0, '', '']","['세종사이버대학교', '정보보호시스템학과', 10, '졸업', '사이버교육']","['', '', 0, '', '']","['부경대학교 ', '컴퓨터공학과', 10, '졸업', '부산']","['건국대학교', '컴퓨터공학과', 10, '졸업', '서울']","['동국대학교', '동국대학교', 6, '졸업', '서울']","['', '', 0, '', '']","['제주대학교', '전산통계학과', 7, '재학중', '제주도']","['수원대학교', '정보보안학과', 6, '졸업', '수원']","['제주대학교', '정치외교학과', 9, '재학', '제주']","['대구한의대학교', '인터넷정보학과', 10, '재학중', '대구']","['', '', 0, '', '']","['포스텍', '컴퓨터공학', 10, '재학중', '포항시']","['컴퓨터공학과', '컴퓨터공학과', 10, '재학중', '서울시']","['조선대학교', '컴퓨터공학과', 9, '재학중', '광주시']","['제주대학교', '수학과', 6, '재학중', '제주시']","['제주대학교', '전산통계학과', 6, '재학중', '제주시']","['한국성서대학', '컴퓨터소프트웨어학전공', 6, '졸업', '서울시']","['중부대학교', '정보보안학과', 10, '졸업', '충청남도']","['건국대학교', '컴퓨터공학과', 10, '졸업', '서울']"
TOEIC,9,10,4,9,9.5,8.5,8.5,9.5,8.5,8.5,8.5,9.5,9.5,8.5,8.5,9,10,9,9,9,9.5,9,8.5,10,9.5,9,8.5,9,9,9.5,9,9.5,10,9,8.5,9.5,10,9,10,4,10,9,9,9,9.5,8.5,9,9,9,9,9,10,9,9,9,9,8.5,10,10,10,9.5,9.5,9.5,9,4,4,10,9.5,4,8.5,8.5,9,9,9,9,4,9,4,9.5,10,4,10,4,9,9.5,4,4,4,4,10,10,9,8.5,10,10,4,9,0,0,4
토익 데이터원본,"[725, 9]","[980, 10]","[100, 4]","[780, 9]","[880, 9.5]","[680, 8.5]","[600, 8.5]","[880, 9.5]","[610, 8.5]","[650, 8.5]","[690, 8.5]","[890, 9.5]","[850, 9.5]","[600, 8.5]","[605, 8.5]","[700, 9]","[990, 10]","[715, 9]","[770, 9]","[780, 9]","[800, 9.5]","[760, 9]","[600, 8.5]","[900, 10]","[890, 9.5]","[790, 9]","[610, 8.5]","[790, 9]","[700, 9]","[800, 9.5]","[720, 9]","[820, 9.5]","[990, 10]","[700, 9]","[650, 8.5]","[810, 9.5]","[910, 10]","[710, 9]","[910, 10]","[310, 4]","[990, 10]","[790, 9]","[750, 9]","[730, 9]","[800, 9.5]","[620, 8.5]","[750, 9]","[700, 9]","[700, 9]","[700, 9]","[720, 9]","[900, 10]","[720, 9]","[790, 9]","[750, 9]","[700, 9]","[655, 8.5]","[900, 10]","[900, 10]","[900, 10]","[800, 9.5]","[800, 9.5]","[800, 9.5]","[700, 9]","[594, 4]","[404, 4]","[900, 10]","[855, 9.5]","[540, 4]","[640, 8.5]","[640, 8.5]","[770, 9]","[760, 9]","[760, 9]","[725, 9]","[456, 4]","[756, 9]","[567, 4]","[855, 9.5]","[906, 10]","[206, 4]","[950, 10]","[450, 4]","[790, 9]","[800, 9.5]","[530, 4]","[332, 4]","[430, 4]","[230, 4]","[970, 10]","[990, 10]","[790, 9]","[690, 8.5]","[976, 10]","[990, 10]","[490, 4]","[705, 9]","[0, 0]","[0, 0]","[420, 4]"
자격증,5,2,0,5,5,5,4,5,5,4,5,5,4,5,2,5,5,5,2,4,5,5,5,5,5,5,4,1,4,0,4,4,1,0,5,4,1,1,5,5,5,4,1,2,1,5,1,1,1,1,1,2,5,5,1,5,0,5,2,2,2,1,1,2,4,0,4,0,4,4,5,4,4,4,0,1,4,1,1,1,5,0,5,4,2,5,5,0,0,2,1,0,5,4,0,0,4,0,0,4
자격증 데이터원본,"[['정보처리기사', '한국산업인력공단', '19.05.22', '한국사능력검정 1급', '국사편찬위원회', '19.08.23'], ['정보처리기사', '한국사능력검정 1급'], 5]","[['독일어 능력 시험', '주한독일문화원', '18.10.16', '한국사능력검정시험1급', '국사편찬위원회', '19.03.15'], ['독일어 능력 시험', '한국사능력검정시험1급'], 2]","[['', '', '', '', '', '>\r\n<', '', '', '', '', ''], [], 0]","[['정보통신기사', '국가기술자격검정', '17.05.15', '한국사능력검정시험1급', '국사편찬위원회', '19.03.15'], ['정보통신기사', '한국사능력검정시험1급'], 5]","[['정보처리기사', '국가기술자격검정', '17.05.15', '정보보안기사', '한국인터넷진흥원', '18.09.16'], ['정보처리기사', '정보보안기사'], 5]","[['정보처리기사', '국가기술자격검정', '17.05.15', '정보보안기사', '한국인터넷진흥원', '18.09.16'], ['정보처리기사', '정보보안기사'], 5]","[['정보처리기사', '국가기술자격검정', '17.05.15', '', '', ''], ['정보처리기사'], 4]","[['정보처리기사', '국가기술자격검정', '17.05.15', '컴퓨터활용능력 1급', '대한상공회의소', '18.03.14'], ['정보처리기사', '컴퓨터활용능력 1급'], 5]","[['정보처리기사', '국가기술자격검정', '17.05.15', '컴퓨터활용능력 1급', '대한상공회의소', '18.03.14'], ['정보처리기사', '컴퓨터활용능력 1급'], 5]","[['정보처리기사', '국가기술자격검정', '16.05.15', '', '', ''], ['정보처리기사'], 4]","[['정보처리기사', '국가기술자격검정', '18.05.15', '컴퓨터활용능력 1급', '대한상공회의소', '19.03.13'], ['정보처리기사', '컴퓨터활용능력 1급'], 5]","[['정보보안기사', '한국인터넷진흥원', '18.05.15', '리눅스 마스터', '정보통신기술자격검정', '19.09.13'], ['정보보안기사', '리눅스 마스터'], 5]","[['정보처리기사', '한국산업인력공단', '18.05.22', '', '', ''], ['정보처리기사'], 4]","[['정보처리기사', '국가기술자격검정', '18.05.15', '컴퓨터활용능력 1급', '대한상공회의소', '19.03.13'], ['정보처리기사', '컴퓨터활용능력 1급'], 5]","[['컴퓨터활용능력 1급', '대한상공회의소', '18.01.13', '한국사능력검정시험 1급', '국사편찬위원회', '18.05.24'], ['컴퓨터활용능력 1급', '한국사능력검정시험 1급'], 2]","[['정보처리기사', '국가기술자격검정', '18.05.15', '컴퓨터활용능력 1급', '대한상공회의소', '19.03.13'], ['정보처리기사', '컴퓨터활용능력 1급'], 5]","[['정보처리기사', '국가기술자격검정', '14.08.13', '정보보안기사', '한국인터넷진흥원', '15.09.24'], ['정보처리기사', '정보보안기사'], 5]","[['정보처리기사', '국가기술자격검정', '16.05.15', '컴퓨터활용능력 1급', '대한상공회의소', '16.08.13'], ['정보처리기사', '컴퓨터활용능력 1급'], 5]","[['네트워크 관리사 2급', '한국정보통신자격협회', '16.12.15', '컴퓨터활용능력 1급', '대한상공회의소', '18.03.13'], ['네트워크 관리사 2급', '컴퓨터활용능력 1급'], 2]","[['정보처리기사', '국가기술자격검정', '17.05.15', '', '', ''], ['정보처리기사'], 4]","[['정보처리기사', '국가기술자격검정', '19.05.15', '컴퓨터활용능력 1급', '대한상공회의소', '20.01.13'], ['정보처리기사', '컴퓨터활용능력 1급'], 5]","[['정보처리기사', '국가기술자격검정', '19.05.15', '컴퓨터활용능력 1급', '대한상공회의소', '19.08.13'], ['정보처리기사', '컴퓨터활용능력 1급'], 5]","[['정보보안기사', '한국인터넷진흥원', '18.09.30', '컴퓨터활용능력 1급', '대한상공회의소', '18.12.13'], ['정보보안기사', '컴퓨터활용능력 1급'], 5]","[['컴퓨터활용능력 1급', '대한상공회의소', '17.08.14', '정보보안기사', '한국인터넷진흥원', '18.08.31'], ['컴퓨터활용능력 1급', '정보보안기사'], 5]","[['정보처리기사', '국가기술자격검정', '17.12.15', '컴퓨터활용능력 1급', '대한상공회의소', '18.03.13'], ['정보처리기사', '컴퓨터활용능력 1급'], 5]","[['정보처리기사', '국가기술자격검정', '17.05.15', '컴퓨터활용능력 1급', '대한상공회의소', '18.03.13'], ['정보처리기사', '컴퓨터활용능력 1급'], 5]","[['정보처리기사', '국가기술자격검정', '14.09.15', '', '', ''], ['정보처리기사'], 4]","[['컴퓨터활용능력 1급', '대한상공회의소', '19.03.13', '', '', ''], ['컴퓨터활용능력 1급'], 1]","[['정보처리기사', '한국산업인력공단', '19.04.22', '', '', ''], ['정보처리기사'], 4]","[['', '', '', '', '', ''], [], 0]","[['정보처리기사', '한국산업인력공단', '18.02.10', '', '', ''], ['정보처리기사'], 4]","[['정보처리기사', '한국산업인력공단', '18.05.30', '', '', ''], ['정보처리기사'], 4]","[['ADsP', '한국데이터산업진흥원', '19.11.29', '', '', ''], ['ADsP'], 1]","[['', '', '', '', '', ''], [], 0]","[['정보보안기사', '한국인터넷진흥원', '19.08.12', '컴퓨터활용능력 2급', '대한상공회의소', '20.01.14'], ['정보보안기사', '컴퓨터활용능력 2급'], 5]","[['정보처리기사', '한국산업인력공단', '19.06.12', '', '', ''], ['정보처리기사'], 4]","[['ADsP', '한국데이터산업진흥원', '19.07.12', '', '', ''], ['ADsP'], 1]","[['SQLP', '한국데이터산업진흥원', '19.05.12', '', '', ''], ['SQLP'], 1]","[['정보처리기사', '한국산업인력공단', '19.05.30', 'ADsP', '한국데이터산업진흥원', '19.01.31'], ['정보처리기사', 'ADsP'], 5]","[['정보처리기사', '한국산업인력공단', '19.05.20', 'ADsP', '한국데이터산업진흥원', '19.01.31'], ['정보처리기사', 'ADsP'], 5]","[['정보처리기사', '한국산업인력공단', '19.08.13', 'ADP', '한국데이터산업진흥원', '19.03.18'], ['정보처리기사', 'ADP'], 5]","[['정보처리기사', '한국산업인력공단', '19.08.30', '', '', ''], ['정보처리기사'], 4]","[['DAP', '한국데이터산업진흥원', '19.07.12', '', '', ''], ['DAP'], 1]","[['DAP', '한국데이터산업진흥원', '19.05.24', 'SQLP', '한국데이터산업진흥원', '18.10.30'], ['DAP', 'SQLP'], 2]","[['DAP', '한국데이터산업진흥원', '18.06.24', '', '', ''], ['DAP'], 1]","[['정보처리기사', '한국산업인력공단', '19.05.22', '컴퓨터활용능력 1급', '대한상공회의소', '19.09.25'], ['정보처리기사', '컴퓨터활용능력 1급'], 5]","[['DAsP', '한국데이터산업진흥원', '19.06.24', '', '', ''], ['DAsP'], 1]","[['DAsP', '한국데이터산업진흥원', '18.03.24', '', '', ''], ['DAsP'], 1]","[['ADsP', '한국데이터산업진흥원', '20.01.15', '', '', ''], ['ADsP'], 1]","[['SQLP', '한국데이터산업진흥원', '20.02.13', '', '', ''], ['SQLP'], 1]","[['ADsP', '한국데이터산업진흥원', '20.02.13', '', '', ''], ['ADsP'], 1]","[['ADP', '한국데이터산업진흥원', '18.09.13', 'DAP', '한국데이터산업집흥원', '19.06.29'], ['ADP', 'DAP'], 2]","[['ADsP', '한국데이터산업진흥원', '19.08.24', '정보처리기사', '한국산업인력공단', '19.03.22'], ['ADsP', '정보처리기사'], 5]","[['ADP', '한국데이터산업진흥원', '18.08.02', '정보처리기사', '한국산업인력공단', '19.03.22'], ['ADP', '정보처리기사'], 5]","[['ADsP', '한국데이터산업진흥원', '20.01.10', '', '', ''], ['ADsP'], 1]","[['ADP', '한국데이터산업진흥원', '20.01.15', '정보처리기사', '국사편찬위원회', '19.09.15'], ['ADP', '정보처리기사'], 5]","[['', '', '', '', '', ''], [], 0]","[['ADP', '한국데이터산업진흥원', '19.01.15', '정보처리기사', '국사편찬위원회', '18.09.04'], ['ADP', '정보처리기사'], 5]","[['ADsP', '한국데이터산업진흥원', '19.02.15', 'DAsP', '한국데이터산업진흥원', '18.08.04'], ['ADsP', 'DAsP'], 2]","[['ADP', '한국데이터산업진흥원', '18.02.15', 'DAP', '한국데이터산업진흥원', '18.08.04'], ['ADP', 'DAP'], 2]","[['ADsP', '한국데이터산업진흥원', '18.02.15', 'DAsP', '한국데이터산업진흥원', '19.08.04'], ['ADsP', 'DAsP'], 2]","[['ADP', '한국데이터산업진흥원', '18.02.15', '', '', ''], ['ADP'], 1]","[['ADsP', '한국데이터산업진흥원', '18.02.15', '', '', ''], ['ADsP'], 1]","[['ADsP', '한국데이터산업진흥원', '18.02.15', 'DAP', '한국데이터산업진흥원', '19.08.20'], ['ADsP', 'DAP'], 2]","[['정보처리기사', '한국산업인력공단', '19.05.22', '', '', '`'], ['정보처리기사'], 4]","[['', '', '', '', '', '`'], [], 0]","[['정보보안산업기사', 'KISO', '14.7', '', '', '`'], ['정보보안산업기사'], 4]","[['', '', '', '', '', ''], [], 0]","[['정보보안산업기사', 'KISO', '14.7', '', '', '`'], ['정보보안산업기사'], 4]","[['정보보안산업기사', 'KISO', '14.7', '', '', '`'], ['정보보안산업기사'], 4]","[['정보보안산업기사', 'KISO', '18.5', '정보처리기사 ', '한국산업인력공단', '19.05.'], ['정보보안산업기사', '정보처리기사 '], 5]","[['정보처리기사', '한국산업인력공단', '18.05', '', '', ''], ['정보처리기사'], 4]","[['정보보안기사', '한국인터넷진흥원', '19.05', '', '', ''], ['정보보안기사'], 4]","[['정보보안기사', '한국인터넷진흥원', '19.05', '', '', ''], ['정보보안기사'], 4]","[['', '', '', '', '', ''], [], 0]","[['ccna', '시스코', '18.01', '', '', ''], ['ccna'], 1]","[['정보보안기사', 'KISA', '19.01', '', '', ''], ['정보보안기사'], 4]","[['컴퓨터활용능력', '대한상공회의소', '17.01', '', '', ''], ['컴퓨터활용능력'], 1]","[['워드프로세서', '대한상공회의소', '15.12.23', '', '', ''], ['워드프로세서'], 1]","[['ADSP', '대한데이터자격검정상공회의소', '18.4', '', '', ''], ['ADSP'], 1]","[['ADSP', '대한데이터자격검정상공회의소', '18.4', '정보처리산업기사', 'Q-net', '17.1'], ['ADSP', '정보처리산업기사'], 5]","[['', '', '', '', '', ''], [], 0]","[['정보처리산업기사', 'q-net', '19.05', '정보보안산업기사', 'KISA', '19.12'], ['정보처리산업기사', '정보보안산업기사'], 5]","[['정보처리기사', 'q-net', '19.05', '', '', ''], ['정보처리기사'], 4]","[['리눅스마스터', 'KAIT', '18.05', '네트워크 관리사', '한국정보통신자격협회', '19.12'], ['리눅스마스터', '네트워크 관리사'], 2]","[['리눅스마스터', 'KAIT', '18.05', '정보보안기사', 'KISA', '19.12'], ['리눅스마스터', '정보보안기사'], 5]","[['정보처리산업기사', 'Q-net', '18.05', '정보보안산업기사', 'KISA', '19.12'], ['정보처리산업기사', '정보보안산업기사'], 5]","[['', '', '', '', '', ''], [], 0]","[['', '', '', '', '', ''], [], 0]","[['컴퓨터활용능력 1급', '대한상공회의소', '18.10.16', '워드프로세서', '대한상공회의소', '19.01.15'], ['컴퓨터활용능력 1급', '워드프로세서'], 2]","[['컴퓨터활용능력', 'Q-net', '19.5', '', '', ''], ['컴퓨터활용능력'], 1]","[['', '', '', '', '', ''], [], 0]","[['정보보안기사', 'KISA', '20.5', '정보처리기사', 'Q-NET', '19.3'], ['정보보안기사', '정보처리기사'], 5]","[['정보보안기사', 'KISA', '20.5', '', '', ''], ['정보보안기사'], 4]","[['', '', '', '', '', ''], [], 0]","[['', '', '', '', '', ''], [], 0]","[['정보처리기사', 'q-net', '19.05', '', '', ''], ['정보처리기사'], 4]","[['', '', '', '', '', ''], [], 0]","[['', '', '', '', '', ''], [], 0]","[['정보처리기사', '한국산업인력공단', '19.05.22', '', '', ''], ['정보처리기사'], 4]"
교육/활동/수상,2,2,0,0,5,2,4,5,0,2,4,5,2,2,0,4,5,0,2,2,4,5,2,4,2,0,2,2,0,2,0,0,2,0,4,0,0,0,2,2,2,0,2,2,2,0,2,0,0,2,2,5,2,4,2,2,0,4,4,5,2,2,4,4,0,0,0,0,2,2,2,0,0,0,2,2,2,0,5,0,0,0,0,4,2,2,2,0,0,5,2,0,2,2,0,0,0,0,0,0
교육/활동/수상 데이터원본,['빅데이터 전략 마에스트로'],['빅데이터 경진대회'],[],[],"['코딩 동아리', '데이터 분석 경진대회 은상', '청년 아카데미 교육']",['코딩 동아리'],"['코딩 동아리', '캡스톤 디자인']","['코딩 테스트 대회 금상', '날씨 빅데이터 분석 대회 대상', '빅데이터 전략 마에스트로']",[],['교육 봉사 동아리'],"['교육 봉사 동아리', '데이터 분석 대회 장려상']","['코딩 경진대회 은상', '소프트웨어 경진대회', '데이터 분석 대회 최우수상']",['날씨 빅테이터 콘테스트 장려상'],['데이터 분석 대회 은상'],[],"['캡스톤 디자인', '제주 빅데이터 경연대회 장려상']","['게임 개발 대회 동상', '교육 봉사 동아리', '청년 교육 아카데미']",[],['IT 교육 아카데미'],['소프트웨어 교육'],"['데이터분석 동아리', '데이터 분석 경연 장려상']","['캡스톤 디자인', '데이터 분석 대회', '빅데이터전략 마에스트로']",['IT 개발 아이디어 경진 대회'],"['소프트웨어 사고력 대회 은상', '전국 코딩 경진대회 금상']",['코딩 경연대회 장려상'],[],['데이터 분석 대회 장려상'],['IT 개발 아이디어 경진대회 동상'],[],['빅데이터 전략 마에스트로'],[],[],['빅데이터 전략 마에스트로'],[],"['부산 코딩 대회 장려상', '소프트웨어 개발 대회 우수상']",[],[],[],['데이터분석 동아리'],['데이터분석 동아리'],['기상청 데이터 분석 경진대회'],[],['산업발전 데이터분석 대회'],['환경 데이터분석 대회'],['산업경제 데이터분석 대회'],[],['농업경제 데이터분석 대회'],[],[],['산업발전 데이터분석 대회'],['수산 발전 데이터분석 대회'],"['날씨 데이터분석 경진대회', '환경살리기 데이터분석 대회', '산업발전 데이터분석 대회']",['날씨 데이터분석 경진대회'],"['날씨 데이터분석 경진대회', '산업 발전 데이터분석 대회']",['날씨 데이터분석 경진대회'],['산업 데이터분석 동아리'],[],"['산업 데이터분석 동아리', '제주 데이터분석 대회']","['빅데이터 분석 동아리', '서울 데이터분석 대회']","['빅데이터 분석 동아리', '서울 데이터분석 대회', '산업발전 데이터분석 대회']",['서울 데이터분석 대회'],['서울 데이터분석 대회'],"['서울 데이터분석 대회', '빅데이터분석 동아리']","['제주 데이터분석 대회', '빅데이터분석 동아리']",[],[],[],[],['제주코딩베이스캠프'],['코팅캠프'],[' 코팅캠프 우수상'],[],[],[],['빅데이터 전략 마에스트로'],['비투 교육센터'],['대학생을 위한 IT 교육'],[],"['방송 동아리', '날씨 데이터 분석 대회 동상', '이성 청년 아카데미 교육']",[],[],[],[],"['빅데이터 마에스트로', '코딩테스트 우수상']",['빅데이터 마에스트로'],['IT교육센터 '],['중앙 정보처리 학원'],[],[],"['볼링 동아리', ' 데이터 분석 대회 은상', '청년 아카데미 교육']",['코코아 인턴쉽'],[],['제주도 코딩베이스캠프'],['제주도 코딩베이스캠프'],[],[],[],[],[],[]
군필여부,군필,군필,군필,군필,미해당,면제,군필,군필,군필,군필,군필,미해당,군필,면제,군필,면제,미해당,군필,미해당,군필,군필,군필,군필,군필,군필,미해당,미해당,군필,미해당,미해당,미해당,미해당,미해당,미해당,면제,미해당,미해당,미해당,미해당,미해당,미해당,미해당,미해당,미해당,미해당,미해당,미해당,미해당,미해당,미해당,미해당,미해당,미해당,미해당,미해당,미해당,미해당,미해당,미해당,미해당,미해당,미해당,미해당,미해당,군필,미 해당,미 해당,군필,군필,미 해당,미 해당,군필,군필,군필,군필,미필,미해당,미해당,미해당,군필,군필,군필,미필,미해당,미해당,군필,군필,미필,미필,군필,미필,군필,군필,군필,미필,미해당,미해당,군필,군필,미해당
군별,육군,육군,해병대,육군,,,해병대,해병대,육군,육군,육군,,육군,,육군,,,육군,,공군,육군,의경,육군,해병대,육군,,,육군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,육군,,,공군,의경,,,해병대,해병대,해병대,육군,,,,,육군,육군,육군,,,,의경,해병대,,,의경,,육군,해병대,육군,,,,해병대,해병대,
계급,병장,병장,병장,병장,,,병장,병장,병장,병장,병장,,병장,,병장,,,병장,,병장,병장,병장,병장,병장,병장,,,병장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,병장,,,병장,병장,,,병장,병장,병장,병장,,,,,병장,대위,대위,,,,병장,중사,,,병장,,대위,병장,병장,,,,하사,병장,
복무기간,15.02~16.11,15.06~17.03,14.3~15.12,13.08~15.05,,,12.02~13.11,14.07~16.04,15.03~16.12,14.03~15.12,15.05~17.02,,12.02~13.11,,14.05~16.02,,,13.05~15.02,,13.09~15.06,15.07~17.04,15.02~16.11,14.05~16.02,14.07~16.04,13.02~14.11,,,15.08~17.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.08~19.04,,,10.03 ~ 11.12,17.08~19.04,,,14.08.02~16.05.01,17.08.02~19.05.01,17.08.02~19.05.01,15.02~16.11,,,,,16.03~ 18.02,16.03~ 20.01,14.03~ 20.01,,,,2016.03~2017.12,2013.03~2018.12,,,14.02~15.11,,12.02~19.12,17.04~18.12,17.04~18.12,,,,15.3~20.3 ,18.3~20.,
